Effective Date,Contract Reference Number  ,Title of agreement,Service responsible,Description of goods and services,Contract Start Date,End Date,Review Date,Extension Period,Contract Value,SupplierName,NominatedContactPoint,,,,,
August 2015,288,Document storage,Democratic Legal & Policy,Document storage,1/1/2014,12/31/2017,5/1/2017,0,28000.00,Iron Mountain,Jennifer.Griffin@wycombe.gov.uk,,,,,
August 2015,123,Dog Warden Service,Environment,Dog Warden Service,11/1/2014,10/31/2018,11/1/2016,0,229560.00,SDK Environmental Ltd,Julian.Smith@wycombe.gov.uk,,,,,
August 2015,235,"E forms for licensing, revenues and Benifits",Human Resources ICT/CSC & Shared Support Services,"E forms for licensing, revenues and Benifits",10/1/2012,10/31/2015,8/27/2015,0,20000.00,Victoria Form,Mark.Lansbury@wycombe.gov.uk,,,,,
August 2015,218,eFinancials,Finance & Commercial,eFinancials,11/29/2011,3/31/2017,1/2/2017,0,145000.00,Advanced Business Solutions,Brenda.Watson@wycombe.gov.uk,,,,,
August 2015,264,External audit,Finance & Commercial,External audit,9/1/2012,8/31/2017,4/3/2017,0,640000.00,Ernest & Young,Brenda.Watson@wycombe.gov.uk,,,,,
August 2015,118,"Fire alarm, Emergency lighting & portable fire fighting Equipment maintenance",Human Resources ICT/CSC & Shared Support Services,"Fire alarm, Emergency lighting & portable fire fighting Equipment maintenance",4/1/2014,3/31/2019,1/31/2019,1,80000.00,Lightside Ltd,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,212,Handy Cross Leisure Centre: Initial Design & Costsing: lead Cosnultant & Design Services,Finance & Commercial,Handy Cross Leisure Centre: Initial Design & Costsing: lead Cosnultant & Design Services,3/2/2012,12/26/2015,12/26/2015,0,973000.00,Mace Limited,Charles.Brocklehurst@wycombe.gov.uk,,,,,
August 2015,39,Housing Removals Contract,Environment,Housing Removals Contract,10/1/2014,9/30/2018,1/4/2016,0,40000.00,Doree Bonner,Nick.Lamport@wycombe.gov.uk,,,,,
August 2015,214,Hughenden Quarter Consultants,Finance & Commercial,Hughenden Quarter Consultants,12/1/2011,8/31/2015,8/31/2015,0,90000.00,Mayer Brown,Charles.Brocklehurst@wycombe.gov.uk,,,,,
August 2015,215,Hughenden Quarter Consultants,Finance & Commercial,Hughenden Quarter Consultants,8/22/2011,9/30/2015,9/30/2015,0,24000.00,Bevan Brittan,Charles.Brocklehurst@wycombe.gov.uk,,,,,
August 2015,217,Hughenden Quarter Consultants,Finance & Commercial,Hughenden Quarter Consultants,5/12/2011,8/31/2015,6/30/2015,0,15000.00,GVA Grimley,Charles.Brocklehurst@wycombe.gov.uk,,,,,
August 2015,284,Hughenden Quarter Consultants,Finance & Commercial,Hughenden Quarter Consultants,3/31/2014,8/31/2015,7/1/2015,0,45000.00,Gillespies,Charles.Brocklehurst@wycombe.gov.uk,,,,,
August 2015,126,ICT and CSC managed service,Human Resources ICT/CSC & Shared Support Services,ICT and CSC managed service,2/1/2015,1/31/2020,1/1/2019,4,6906000.00,Capita,John.McMillan@wycombe.gov.uk,,,,,
August 2015,334,Internal Audit services,Finance & Commercial,Internal Audit services,4/1/2015,3/30/2018,9/29/2017,2,90000.00,Moore Stephens LLP,mike.howard@wycombe.gov.uk,,,,,
August 2015,131,Intranet,Human Resources ICT/CSC & Shared Support Services,Intranet,4/1/2008,2/3/2016,12/4/2015,0,35000.00,Sorce,Mark.Lansbury@wycombe.gov.uk,,,,,
August 2015,295,Lease cost routing on main switchboard number,Finance & Commercial,Lease cost routing on main switchboard number,11/11/2014,11/10/2015,9/29/2015,0,12000.00,Adept Telecom,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,258,Leisure centre operators - management of existing and new sports centres,Community,Leisure centre operators - management of existing and new sports centres,7/1/2014,6/30/2029,7/1/2019,0,15000000.00,People for places  (PfP),Richard.Eaton@wycombe.gov.uk,,,,,
August 2015,119,Lift maintenance,Human Resources ICT/CSC & Shared Support Services,Lift maintenance,4/1/2014,3/31/2019,1/31/2019,1,24000.00,Chiltern lifts,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,268,Lincoln Park Business Centre- Management Contract,Finance & Commercial,Lincoln Park Business Centre- Management Contract,4/1/2013,3/31/2018,3/31/2017,0,30000.00,Duncan Bailey- Kennedy,Robert.Daniels@wycombe.gov.uk,,,,,
August 2015,222,Lone Worker security devices,Environment,Lone Worker security devices,10/9/2012,10/8/2015,10/1/2015,2,4800.00,Reliance,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,308,"Maintenance contract HVAC plant, service and equipment and air hygiene",Human Resources ICT/CSC & Shared Support Services,"Maintenance contract HVAC plant, service and equipment and air hygiene",4/1/2014,3/31/2019,9/1/2018,1,200000.00,Tencer,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,88,Minor Works & Gen. Maint - SoR,Human Resources ICT/CSC & Shared Support Services,Minor Works & Gen. Maint - SoR,4/1/2012,3/31/2016,1/2/2016,2,0.00,SLN (Aylesbury),Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,107,Minor Works & Gen. Maint - SoR,Human Resources ICT/CSC & Shared Support Services,Minor Works & Gen. Maint - SoR,4/1/2012,3/31/2016,1/2/2016,2,0.00,Clive's Drives,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,108,Minor Works & Gen. Maint - SoR,Human Resources ICT/CSC & Shared Support Services,Minor Works & Gen. Maint - SoR,4/1/2012,3/31/2016,1/2/2016,2,0.00,Associated Asphalt,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,109,Minor Works & Gen. Maint - SoR,Human Resources ICT/CSC & Shared Support Services,Minor Works & Gen. Maint - SoR,4/1/2012,3/31/2016,1/2/2016,2,0.00,Walker Construction,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,110,Minor Works & Gen. Maint - SoR,Human Resources ICT/CSC & Shared Support Services,Minor Works & Gen. Maint - SoR,4/1/2012,3/31/2016,1/2/2016,2,0.00,Bellstan,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,111,Minor Works & Gen. Maint - SoR,Human Resources ICT/CSC & Shared Support Services,Minor Works & Gen. Maint - SoR,4/1/2012,3/31/2016,1/2/2016,2,0.00,Ringway Jacobs,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,112,Minor Works & Gen. Maint - SoR,Human Resources ICT/CSC & Shared Support Services,Minor Works & Gen. Maint - SoR,4/1/2012,3/31/2016,1/2/2016,2,0.00,C Dowdy,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,85,Mobile phones,Finance & Commercial,Mobile phones,8/8/2013,12/7/2015,9/30/2015,0,38000.00,Vodafone,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,273,Multi funtion Devices ( printer/Copier/scanners),Finance & Commercial,Multi funtion Devices ( printer/Copier/scanners),8/30/2013,8/31/2018,7/1/2016,0,170000.00,Annodata Ltd,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,51,Non Life Insurance Services:,Human Resources ICT/CSC & Shared Support Services,Non Life Insurance Services:,4/1/2012,3/31/2017,4/25/2016,0,1050000.00,Zurich,Ryan.Savage@wycombe.gov.uk,,,,,
August 2015,272,Occupational Health and Employee Assistance Programme,Human Resources ICT/CSC & Shared Support Services,Occupational Health and Employee Assistance Programme,9/1/2013,8/31/2017,8/1/2016,1,54000.00,People Asset Management (PAM),Jo.Whiteley@wycombe.gov.uk,,,,,
August 2015,267,On line Veripark registration webpayments,Environment,On line Veripark registration webpayments,4/22/2013,4/25/2016,10/25/2015,0,9000.00,SIX card Solutions,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,285,On-line veripark ANPR card webpayments,Environment,On-line veripark ANPR card webpayments,5/24/2014,5/24/2017,1/24/2017,0,9000.00,Six card Solutions,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,231,"Outsourced print room - supply of creative design, print management and reprographics services",Democratic Legal & Policy,"Outsourced print room - supply of creative design, print management and reprographics services",1/24/2013,1/23/2016,4/1/2015,2,594000.00,Greens,Catherine.Spalton@wycombe.gov.uk,,,,,
August 2015,208,Payroll Contract ,Human Resources ICT/CSC & Shared Support Services,Payroll Contract ,4/1/2012,3/31/2016,3/31/2015,0,101000.00,Aylesbury Vale District Council,Paul.Spencer@wycombe.gov.uk,,,,,
August 2015,122,Pest Control Services,Environment,Pest Control Services,11/1/2014,10/31/2018,11/1/2016,0,98400.00,SDK Environmental Ltd,Julian.Smith@wycombe.gov.uk,,,,,
August 2015,242,Planning applications service,Planning & Sustainability,Planning applications service,10/1/2012,10/1/2015,31/09/2015,0,30000.00,Sterling Planning,Alastair.Nicholson@wycombe.gov.uk,,,,,
August 2015,55,Private Medical Insurance ,Human Resources ICT/CSC & Shared Support Services,Private Medical Insurance ,4/1/2015,3/31/2016,1/2/2016,0,54000.00,AXA PPP,Jo.Whiteley@wycombe.gov.uk,,,,,
August 2015,332,Project management frogmore public realm improvement,Planning & Sustainability,Project management frogmore public realm improvement,12/1/2014,7/5/2016,1/1/2016,0,10300.00,DRF,john.callaghan@wycombe.gov.uk,,,,,
August 2015,54,provision of temporary agency staff,Human Resources ICT/CSC & Shared Support Services,provision of temporary agency staff,5/1/2015,4/20/2017,1/9/2017,2,570000.00,Adecco UK Ltd,Jo.Whiteley@wycombe.gov.uk,,,,,
August 2015,45,Public Convenience Cleaning ,Human Resources ICT/CSC & Shared Support Services,Public Convenience Cleaning ,7/5/2010,12/31/2015,11/30/2015,0,597090.00,Wettons,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,270,Revenues enforcement agents,Finance & Commercial,Revenues enforcement agents,3/1/2015,2/28/2017,12/1/2016,2,0.00,Bristow and Sutor ltd,andy.green@wycombe.gov.uk,,,,,
August 2015,270,Revenues enforcement agents,Finance & Commercial,Revenues enforcement agents,3/1/2015,2/28/2017,12/1/2016,2,0.00,Newlyn PLC,andy.green@wycombe.gov.uk,,,,,
August 2015,270,Revenues enforcement agents,Finance & Commercial,Revenues enforcement agents,3/1/2015,2/28/2017,12/1/2016,2,0.00,Chandlers Ltd,andy.green@wycombe.gov.uk,,,,,
August 2015,135,Stationery & office consumables,Finance & Commercial,Stationery & office consumables,7/1/2013,7/29/2016,4/4/2016,0,75000.00,Lyreco,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,81,supply Nhh Electricity,Finance & Commercial,supply Nhh Electricity,4/1/2014,3/31/2016,9/1/2015,0,60000.00,British Gas via OGC,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,97,Supply of Electricity HH,Finance & Commercial,Supply of Electricity HH,10/1/2015,9/30/2016,3/2/2016,0,116000.00,EDF ,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,98,Supply of gas,Finance & Commercial,Supply of gas,10/1/2015,9/30/2016,3/2/2016,0,60000.00,Corona,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,80,Supply of non-metered electricity,Finance & Commercial,Supply of non-metered electricity,10/1/2015,9/30/2016,3/2/2016,0,16000.00,EDF Energy,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,150,Telephone call charges & line rental,Finance & Commercial,Telephone call charges & line rental,10/1/2014,9/30/2015,9/30/2015,0,38000.00,British Telecom,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,151,Treasury Management Fund Managers Fees. (Hold funds on our behalf charge as % of funds held).   ,Finance & Commercial,Treasury Management Fund Managers Fees. (Hold funds on our behalf charge as % of funds held).   ,4/1/2015,3/31/2016,2/27/2016,0,40000.00,Investec Asset Management,Steve.Richardson@wycombe.gov.uk,,,,,
August 2015,65,Treasury Management Services. (Market intelligence and advice).,Finance & Commercial,Treasury Management Services. (Market intelligence and advice).,4/1/2015,3/31/2017,2/27/2016,0,15000.00,Capita Treasury  Management  Services ,Steve.Richardson@wycombe.gov.uk,,,,,
August 2015,266,UPT terminals ANPR Veripark machines,Environment,UPT terminals ANPR Veripark machines,4/22/2013,5/31/2016,12/5/2015,0,15000.00,Wild Yeast Ltd - Xenco,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,323,Wallgate services in public toilets,Human Resources ICT/CSC & Shared Support Services,Wallgate services in public toilets,4/1/2015,3/31/2016,2/28/2016,0,6300.00,Wallgate Ltd,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,232,Waste collection/ refuse collection,Environment,Waste collection/ refuse collection,3/4/2013,3/2/2020,3/2/2018,14,49000000.00,Serco,Caroline.Hughes@wycombe.gov.uk,,,,,
August 2015,116,Water and Air Hygiene,Human Resources ICT/CSC & Shared Support Services,Water and Air Hygiene,5/1/2015,4/30/2018,2/26/2016,0,19300.00,Eaton Environmental Ltd,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,127,Web Control and Blackspider,Human Resources ICT/CSC & Shared Support Services,Web Control and Blackspider,4/1/2015,3/31/2017,8/1/2016,0,45000.00,Websense (Via Civica),Mary.Hayward-Ord@wycombe.gov.uk,,,,,
August 2015,247,Wycombe Sports Centre main contractor,Finance & Commercial,Wycombe Sports Centre main contractor,4/1/2014,11/30/2015,11/30/2015,0,35968000.00,Willmott Dixon,Charles.Brocklehurst@wycombe.gov.uk,,,,,
August 2015,WDC12170,RECRUITMENT OF CORPORATE DIRECTOR ,CHIEF EXECUTIVE,RECRUITMENT OF CORPORATE DIRECTOR ,5/21/2015,,,,35000.00,Penna Plc,Steve.Richardson@wycombe.gov.uk,,,,,
August 2015,WDC11763,Gossmore Public Toilet Handwash Service Contr,COMMUNITY,Gossmore Public Toilet Handwash Service Contr,4/7/2015,,,,6273.00,Wallgate,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,WDC11780,Cemetery,COMMUNITY,Cemetery,4/8/2015,,,,33901.60,Tencer Ltd,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,WDC11781,Extra costs: Car Park works Desborough Rec,COMMUNITY,Extra costs: Car Park works Desborough Rec,4/8/2015,,,,9987.11,Createability - Cis,Catherine.SilvaDonayre@wycombe.gov.uk,,,,,
August 2015,WDC11782,Valuation 6: Desborough Rec Ground,COMMUNITY,Valuation 6: Desborough Rec Ground,4/8/2015,,,,19903.56,Createability - Cis,Catherine.SilvaDonayre@wycombe.gov.uk,,,,,
August 2015,WDC11814,CCTV: BT Fibre ciruits - rent from 01/04/2015,COMMUNITY,CCTV: BT Fibre ciruits - rent from 01/04/2015,4/13/2015,,,,11425.05,Bt Redcare,Sarah.Randall@wycombe.gov.uk,,,,,
August 2015,WDC11935,Procurement and cost services,COMMUNITY,Procurement and cost services,4/24/2015,,,,7400.00,Cragg Management Services,Catherine.SilvaDonayre@wycombe.gov.uk,,,,,
August 2015,WDC12009,Rye cycle route surfacing as per quote 15/111,COMMUNITY,Rye cycle route surfacing as per quote 15/111,5/5/2015,,,,15981.55,Hms Decorative Surfacing Ltd - Cis Ded,Elaine.Jewell@wycombe.gov.uk,,,,,
August 2015,WDC12115,LIFT AT MUSEUM,COMMUNITY,LIFT AT MUSEUM,5/15/2015,,,,14393.00,Kone Plc,Catherine.SilvaDonayre@wycombe.gov.uk,,,,,
August 2015,WDC12133,Soil Surveys 2 potential new allotment sites,COMMUNITY,Soil Surveys 2 potential new allotment sites,5/18/2015,,,,8864.00,Wde Consulting,Sarah.Randall@wycombe.gov.uk,,,,,
August 2015,WDC12160,CCTV System support and Maint: Start 1st Marc,COMMUNITY,CCTV System support and Maint: Start 1st Marc,5/21/2015,,,,6072.00,Geutebruck Uk Ltd,Sarah.Randall@wycombe.gov.uk,,,,,
August 2015,WDC12268,Supply and delivery 8 x Big Ben litter cages ,COMMUNITY,Supply and delivery 8 x Big Ben litter cages ,5/29/2015,,,,5087.00,Earth Anchors Ltd,Sarah.Randall@wycombe.gov.uk,,,,,
August 2015,WDC12354,Private circuits ANUK320720/320721/920579/920,COMMUNITY,Private circuits ANUK320720/320721/920579/920,6/5/2015,,,,6441.60,British Telecom,Brenda.Watson@wycombe.gov.uk,,,,,
August 2015,WDC12408,REMOVAL & STORAGE SERVICE AT MUSEUM,COMMUNITY,REMOVAL & STORAGE SERVICE AT MUSEUM,6/16/2015,,,,5960.00,Menace Removals,Catherine.SilvaDonayre@wycombe.gov.uk,,,,,
August 2015,WDC12420,"Rent 55a High St, Marlo (24.06.15-28.09.15)",COMMUNITY,"Rent 55a High St, Marlo (24.06.15-28.09.15)",6/16/2015,,,,14150.00,Sorbon Estates Ltd,Sarah.Randall@wycombe.gov.uk,,,,,
August 2015,WDC12430,Wycombe Museum: External Window Decorations,COMMUNITY,Wycombe Museum: External Window Decorations,6/17/2015,,,,13108.00,D W Contractors (Oxford) Ltd,Catherine.SilvaDonayre@wycombe.gov.uk,,,,,
August 2015,WDC12457,Management Fee 2015/16 ¿ Second Quarter,COMMUNITY,Management Fee 2015/16 ¿ Second Quarter,6/19/2015,,,,31500.00,Chiltern Rangers Cic,Ian.Westgate@wycombe.gov.uk,,,,,
August 2015,WDC12514,General Building works for museum project ,COMMUNITY,General Building works for museum project ,6/25/2015,,,,40000.00,Adrol Ltd,Elaine.Jewell@wycombe.gov.uk,,,,,
August 2015,WDC12515,General Building works for Museum Project,COMMUNITY,General Building works for Museum Project,6/25/2015,,,,44000.00,Adrol Ltd,Elaine.Jewell@wycombe.gov.uk,,,,,
August 2015,WDC12516,Mechanical Installations works for Museum Pro,COMMUNITY,Mechanical Installations works for Museum Pro,6/25/2015,,,,43000.00,Adrol Ltd,Elaine.Jewell@wycombe.gov.uk,,,,,
August 2015,WDC12517,Electrical Instalations works for Museum Proj,COMMUNITY,Electrical Instalations works for Museum Proj,6/25/2015,,,,35000.00,Adrol Ltd,Elaine.Jewell@wycombe.gov.uk,,,,,
August 2015,WDC12554,"Think! workshops in Ash Hill, Cedar Park, Ble",COMMUNITY,"Think! workshops in Ash Hill, Cedar Park, Ble",6/30/2015,,,,5976.40,Equalitech,Daniel.Sullivan@wycombe.gov.uk,,,,,
August 2015,WDC11875,Corporate subscription (2015/16) ,DEMOCRATIC LEGAL AND POLICY,Corporate subscription (2015/16) ,4/21/2015,,,,6204.23,South East Employers,Brenda.Watson@wycombe.gov.uk,,,,,
August 2015,WDC11924,"Hosting, licensing and support for April - De",DEMOCRATIC LEGAL AND POLICY,"Hosting, licensing and support for April - De",4/24/2015,,,,14355.00,Webinfinity Europe Ltd,Catherine.Spalton@wycombe.gov.uk,,,,,
August 2015,WDC11950,Staff Fees,DEMOCRATIC LEGAL AND POLICY,Staff Fees,4/27/2015,,,,15000.00,Maislarry And Co Limited,Sabah.Siddiq@wycombe.gov.uk,,,,,
August 2015,WDC12013,Distribution for Wycombe District Times - Sum,DEMOCRATIC LEGAL AND POLICY,Distribution for Wycombe District Times - Sum,5/5/2015,,,,7341.51,Lds Limited,Catherine.Spalton@wycombe.gov.uk,,,,,
August 2015,WDC12015,District Times - Printing (Summer 2015),DEMOCRATIC LEGAL AND POLICY,District Times - Printing (Summer 2015),5/5/2015,,,,7000.00,Swan Print,Catherine.Spalton@wycombe.gov.uk,,,,,
August 2015,WDC12135,Local Land Charges fees  2015,DEMOCRATIC LEGAL AND POLICY,Local Land Charges fees  2015,5/18/2015,,,,112322.00,Bucks County Council,Charles.Meakings@wycombe.gov.uk,,,,,
August 2015,WDC12178,30 Ipads 16gb,DEMOCRATIC LEGAL AND POLICY,30 Ipads 16gb,5/22/2015,,,,11157.00,Westwood Associates Ltd,Ian.Hunt@wycombe.gov.uk,,,,,
August 2015,WDC12198,HNL mailing,DEMOCRATIC LEGAL AND POLICY,HNL mailing,5/27/2015,,,,5535.00,Print Image Network Ltd,Charles.Meakings@wycombe.gov.uk,,,,,
August 2015,WDC12247,"Fee for BCC to cover on call duty out of hours, Emergency Planning",DEMOCRATIC LEGAL AND POLICY,"Fee for BCC to cover on call duty out of hours, Emergency Planning",5/28/2015,,,,10000.00,Bucks County Council,Jacqueline.Ford@wycombe.gov.uk,,,,,
August 2015,WDC12340,Legal fees  VAT invoices ,DEMOCRATIC LEGAL AND POLICY,Legal fees  VAT invoices ,6/4/2015,,,,5000.00,Mishcon De Reya,Brenda.Watson@wycombe.gov.uk,,,,,
August 2015,WDC12400,Salary for temporary Comms Assistant,DEMOCRATIC LEGAL AND POLICY,Salary for temporary Comms Assistant,6/12/2015,,,,12000.00,Badenoch And Clark Ltd,Catherine.Spalton@wycombe.gov.uk,,,,,
August 2015,WDC12507,Westlaw Subscription,DEMOCRATIC LEGAL AND POLICY,Westlaw Subscription,6/24/2015,,,,18490.00,Thomson Reuters,Charles.Meakings@wycombe.gov.uk,,,,,
August 2015,WDC11777,agency staff,ENVIRONMENT,agency staff,4/8/2015,,,,10000.00,Unity Recruitment,Caroline.Hughes@wycombe.gov.uk,,,,,
August 2015,WDC11846,Provision of IP auth service Apr15-Mar16,ENVIRONMENT,Provision of IP auth service Apr15-Mar16,4/15/2015,,,,8856.00,Wild Yeast Ltd,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,WDC11877,Repair to vandalised machine,ENVIRONMENT,Repair to vandalised machine,4/21/2015,,,,7456.00,Parking Pal Ltd,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,WDC11960,additional spare parts for stock,ENVIRONMENT,additional spare parts for stock,4/27/2015,,,,6870.00,Parking Pal Ltd,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,WDC11961,repair to vandalised machine,ENVIRONMENT,repair to vandalised machine,4/27/2015,,,,6780.00,Parking Pal Ltd,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,WDC11965,Matron Noise Monitoring system,ENVIRONMENT,Matron Noise Monitoring system,4/28/2015,,,,5515.10,Bruel & Kjaer (Uk) Ltd,Julian.Smith@wycombe.gov.uk,,,,,
August 2015,WDC12067,Alarm system fitting (CO),ENVIRONMENT,Alarm system fitting (CO),5/11/2015,,,,7341.60,Parking Pal Ltd,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,WDC12095,Pigeon Control,ENVIRONMENT,Pigeon Control,5/13/2015,,,,5580.00,Avian Bird Control Services Ltd,Julian.Smith@wycombe.gov.uk,,,,,
August 2015,WDC12129,Food Safety Inspections 2015-2016,ENVIRONMENT,Food Safety Inspections 2015-2016,5/15/2015,,,,12000.00,Red Snapper Recruitment Ltd,Andrew.Collinson@wycombe.gov.uk,,,,,
August 2015,WDC12240,Repair vandalised machine (Duke),ENVIRONMENT,Repair vandalised machine (Duke),5/28/2015,,,,8782.40,Parking Pal Ltd,Robin.Evans@wycombe.gov.uk,,,,,
